plot,date,sex,weight,species,calibrated,season
2,7/16/2013,F,na,DM,T,2013
7,7/16/2013,M,33,DM,T,2013
3,7/16/2013,M,na,DM,T,2013
1,7/16/2013,M,na,DM,T,2013
3,7/18/2013,M,40,DM,T,2013
7,7/18/2013,M,48,DM,T,2013
4,7/18/2013,F,29,DM,T,2013
6,7/18/2013,F,37,DM,T,2013
8,8/19/2013,F,52,DO,T,2013
3,10/17/2013,F,33,DO,T,2013
3,10/17/2013,F,50,DO,T,2013
9,12/10/2013,F,40,DO,T,2013
1,12/10/2013,M,45,DO,T,2013
8,12/11/2013,F,41,DO,T,2013
9,11/12/2013,F,117,DS,T,2013
11,11/13/2013,F,126,DS,T,2013
17,11/13/2013,M,132,DS,F,2013
14,11/13/2013,F,113,DS,F,2013
11,11/13/2013,F,122,DS,T,2013
4,11/13/2013,F,107,DS,T,2013
4,11/13/2013,F,115,DS,T,2013
1,1/9/2014,M,40,DM,T,2014
1,1/9/2014,F,36,DM,T,2014
1,3/13/2014,F,51,DM,T,2014
1,3/13/2014,F,44,DM,T,2014
1,3/13/2014,F,146,DS,T,2014
2,1/8/2014,na,na,na,T,2014
2,1/8/2014,M,44,DM,T,2014
2,1/8/2014,F,7,PF,T,2014
2,1/8/2014,M,45,DM,T,2014
2,1/8/2014,na,na,OT,T,2014
2,1/8/2014,M,157,DS,F,2014
2,1/8/2014,na,na,OX,T,2014
2,2/18/2014,M,218,na,F,2014
2,2/18/2014,F,7,PF,T,2014
2,2/18/2014,M,52,DM,T,2014
3,3/11/2015,M,8,PF,T,2014
3,4/8/2015,F,na,na,T,2014
3,5/6/2015,na,na,na,T,2014
3,5/18/2015,F,182,na,T,2014
3,6/9/2015,F,29,OT,T,2014
3,7/8/2015,F,115,na,T,2014
3,7/8/2015,M,190,na,T,2014
4,1/8/1978,F,37,DM,T,2014
4,1/8/1978,M,na,DM,T,2014
4,1/8/1978,F,48,DM,T,2014
4,1/8/1978,M,52,DO,T,2014
4,1/8/1978,M,35,OL,T,2014
